,,Store,State
1,,1,Hesse
2,,2,Thuringia
3,,3,North Rhine-Westphalia
4,,4,Berlin
5,,5,Saxony
6,,6,Saxony
7,,7,Schleswig-Holstein
8,,8,Schleswig-Holstein
9,,9,North Rhine-Westphalia
10,,10,Lower-Saxony
11,,11,Schleswig-Holstein
12,,12,Schleswig-Holstein
13,,13,Bavaria
14,,14,North Rhine-Westphalia
15,,15,Schleswig-Holstein
16,,16,Baden-Württemberg
17,,17,Thuringia
18,,18,Thuringia
19,,19,North Rhine-Westphalia
20,,20,Bavaria
21,,21,Baden-Württemberg
22,,22,Bavaria
23,,23,Rhineland-Palatinate
24,,24,North Rhine-Westphalia
25,,25,North Rhine-Westphalia
26,,26,Thuringia
27,,27,North Rhine-Westphalia
28,,28,Saxony-Anhalt
29,,29,North Rhine-Westphalia
30,,30,North Rhine-Westphalia
31,,31,Schleswig-Holstein
32,,32,Bavaria
33,,33,North Rhine-Westphalia
34,,34,Berlin
35,,35,North Rhine-Westphalia
36,,36,Bavaria
37,,37,Saxony-Anhalt
38,,38,North Rhine-Westphalia
39,,39,North Rhine-Westphalia
40,,40,North Rhine-Westphalia
41,,41,Bavaria
42,,42,North Rhine-Westphalia
43,,43,North Rhine-Westphalia
44,,44,Berlin
45,,45,Rhineland-Palatinate
46,,46,Bavaria
47,,47,Hamburg
48,,48,Hamburg
49,,49,Baden-Württemberg
50,,50,Rhineland-Palatinate
51,,51,Bavaria
52,,52,Bavaria
53,,53,Schleswig-Holstein
54,,54,Saxony-Anhalt
55,,55,Saxony
56,,56,Hesse
57,,57,Saxony
58,,58,Bavaria
59,,59,Thuringia
60,,60,Saxony
61,,61,Baden-Württemberg
62,,62,North Rhine-Westphalia
63,,63,Schleswig-Holstein
64,,64,North Rhine-Westphalia
65,,65,Saxony-Anhalt
66,,66,Baden-Württemberg
67,,67,Baden-Württemberg
68,,68,Schleswig-Holstein
69,,69,Hesse
70,,70,Bremen
71,,71,North Rhine-Westphalia
72,,72,Bavaria
73,,73,Schleswig-Holstein
74,,74,North Rhine-Westphalia
75,,75,Schleswig-Holstein
76,,76,Bavaria
77,,77,Hesse
78,,78,Saxony-Anhalt
79,,79,Baden-Württemberg
80,,80,Rhineland-Palatinate
81,,81,Bavaria
82,,82,North Rhine-Westphalia
83,,83,North Rhine-Westphalia
84,,84,North Rhine-Westphalia
85,,85,Berlin
86,,86,North Rhine-Westphalia
87,,87,Berlin
88,,88,Saxony-Anhalt
89,,89,Bavaria
90,,90,North Rhine-Westphalia
91,,91,Baden-Württemberg
92,,92,North Rhine-Westphalia
93,,93,North Rhine-Westphalia
94,,94,North Rhine-Westphalia
95,,95,Saxony
96,,96,Saxony
97,,97,Saxony
98,,98,North Rhine-Westphalia
99,,99,Bavaria
100,,100,Bavaria
101,,101,Schleswig-Holstein
102,,102,North Rhine-Westphalia
103,,103,Berlin
104,,104,Berlin
105,,105,Baden-Württemberg
106,,106,Berlin
107,,107,Bremen
108,,108,Bavaria
109,,109,Schleswig-Holstein
110,,110,Schleswig-Holstein
111,,111,Hesse
112,,112,Lower-Saxony
113,,113,Bavaria
114,,114,Thuringia
115,,115,Bavaria
116,,116,Berlin
117,,117,North Rhine-Westphalia
118,,118,Schleswig-Holstein
119,,119,Schleswig-Holstein
120,,120,Hesse
121,,121,Saxony
122,,122,Schleswig-Holstein
123,,123,Saxony-Anhalt
124,,124,North Rhine-Westphalia
125,,125,Berlin
126,,126,North Rhine-Westphalia
127,,127,Bavaria
128,,128,Hesse
129,,129,Bavaria
130,,130,Hesse
131,,131,North Rhine-Westphalia
132,,132,Bavaria
133,,133,Thuringia
134,,134,Berlin
135,,135,Hesse
136,,136,Bavaria
137,,137,Bavaria
138,,138,Saxony
139,,139,Bavaria
140,,140,Hesse
141,,141,Baden-Württemberg
142,,142,North Rhine-Westphalia
143,,143,Rhineland-Palatinate
144,,144,Bavaria
145,,145,Bavaria
146,,146,North Rhine-Westphalia
147,,147,North Rhine-Westphalia
148,,148,Berlin
149,,149,Bavaria
150,,150,Schleswig-Holstein
151,,151,Saxony-Anhalt
152,,152,North Rhine-Westphalia
153,,153,North Rhine-Westphalia
154,,154,Hesse
155,,155,Bavaria
156,,156,Thuringia
157,,157,North Rhine-Westphalia
158,,158,Rhineland-Palatinate
159,,159,Bavaria
160,,160,Hesse
161,,161,North Rhine-Westphalia
162,,162,Hesse
163,,163,Berlin
164,,164,Bavaria
165,,165,Bavaria
166,,166,North Rhine-Westphalia
167,,167,Saxony-Anhalt
168,,168,Baden-Württemberg
169,,169,North Rhine-Westphalia
170,,170,North Rhine-Westphalia
171,,171,North Rhine-Westphalia
172,,172,Bavaria
173,,173,Berlin
174,,174,Bavaria
175,,175,Hamburg
176,,176,North Rhine-Westphalia
177,,177,Saxony-Anhalt
178,,178,Saxony
179,,179,North Rhine-Westphalia
180,,180,Hamburg
181,,181,Bavaria
182,,182,Hesse
183,,183,Bavaria
184,,184,North Rhine-Westphalia
185,,185,Berlin
186,,186,Bavaria
187,,187,Schleswig-Holstein
188,,188,Rhineland-Palatinate
189,,189,Rhineland-Palatinate
190,,190,Bavaria
191,,191,Bavaria
192,,192,Bavaria
193,,193,Baden-Württemberg
194,,194,Baden-Württemberg
195,,195,North Rhine-Westphalia
196,,196,Thuringia
197,,197,Hamburg
198,,198,Thuringia
199,,199,Rhineland-Palatinate
200,,200,North Rhine-Westphalia
201,,201,North Rhine-Westphalia
202,,202,Hesse
203,,203,Saxony-Anhalt
204,,204,Bavaria
205,,205,Berlin
206,,206,North Rhine-Westphalia
207,,207,Schleswig-Holstein
208,,208,Berlin
209,,209,Schleswig-Holstein
210,,210,Rhineland-Palatinate
211,,211,Berlin
212,,212,Schleswig-Holstein
213,,213,North Rhine-Westphalia
214,,214,North Rhine-Westphalia
215,,215,Bavaria
216,,216,North Rhine-Westphalia
217,,217,Hamburg
218,,218,Bavaria
219,,219,North Rhine-Westphalia
220,,220,North Rhine-Westphalia
221,,221,Schleswig-Holstein
222,,222,Berlin
223,,223,Thuringia
224,,224,Baden-Württemberg
225,,225,Saxony-Anhalt
226,,226,Hesse
227,,227,North Rhine-Westphalia
228,,228,North Rhine-Westphalia
229,,229,Rhineland-Palatinate
230,,230,Schleswig-Holstein
231,,231,Bavaria
232,,232,Saxony-Anhalt
233,,233,Hesse
234,,234,North Rhine-Westphalia
235,,235,Hesse
236,,236,Berlin
237,,237,Berlin
238,,238,North Rhine-Westphalia
239,,239,North Rhine-Westphalia
240,,240,Berlin
241,,241,North Rhine-Westphalia
242,,242,Hesse
243,,243,Bavaria
244,,244,North Rhine-Westphalia
245,,245,Hesse
246,,246,Hamburg
247,,247,Hesse
248,,248,Schleswig-Holstein
249,,249,Schleswig-Holstein
250,,250,Hesse
251,,251,North Rhine-Westphalia
252,,252,North Rhine-Westphalia
253,,253,North Rhine-Westphalia
254,,254,Rhineland-Palatinate
255,,255,North Rhine-Westphalia
256,,256,North Rhine-Westphalia
257,,257,Berlin
258,,258,Bavaria
259,,259,Hesse
260,,260,Berlin
261,,261,Thuringia
262,,262,Hamburg
263,,263,Bavaria
264,,264,Berlin
265,,265,Rhineland-Palatinate
266,,266,Saxony
267,,267,Schleswig-Holstein
268,,268,Lower-Saxony
269,,269,North Rhine-Westphalia
270,,270,Berlin
271,,271,Saxony
272,,272,Hesse
273,,273,North Rhine-Westphalia
274,,274,Hesse
275,,275,Bavaria
276,,276,Saxony
277,,277,Bavaria
278,,278,Schleswig-Holstein
279,,279,Bavaria
280,,280,Baden-Württemberg
281,,281,Schleswig-Holstein
282,,282,Berlin
283,,283,Bavaria
284,,284,Bavaria
285,,285,Hesse
286,,286,Thuringia
287,,287,Bavaria
288,,288,Bavaria
289,,289,Hesse
290,,290,North Rhine-Westphalia
291,,291,Saxony
292,,292,Berlin
293,,293,Berlin
294,,294,Hesse
295,,295,Baden-Württemberg
296,,296,Hesse
297,,297,Baden-Württemberg
298,,298,Bavaria
299,,299,Schleswig-Holstein
300,,300,Hesse
301,,301,Schleswig-Holstein
302,,302,Hesse
303,,303,North Rhine-Westphalia
304,,304,Bremen
305,,305,Hesse
306,,306,Bavaria
307,,307,Thuringia
308,,308,North Rhine-Westphalia
309,,309,North Rhine-Westphalia
310,,310,Schleswig-Holstein
311,,311,Hesse
312,,312,Hesse
313,,313,Thuringia
314,,314,North Rhine-Westphalia
315,,315,Schleswig-Holstein
316,,316,North Rhine-Westphalia
317,,317,Bavaria
318,,318,Saxony
319,,319,Schleswig-Holstein
320,,320,Schleswig-Holstein
321,,321,Saxony
322,,322,Thuringia
323,,323,Rhineland-Palatinate
324,,324,Saxony-Anhalt
325,,325,North Rhine-Westphalia
326,,326,Rhineland-Palatinate
327,,327,Saxony-Anhalt
328,,328,North Rhine-Westphalia
329,,329,North Rhine-Westphalia
330,,330,North Rhine-Westphalia
331,,331,Rhineland-Palatinate
332,,332,Saxony-Anhalt
333,,333,Hamburg
334,,334,North Rhine-Westphalia
335,,335,North Rhine-Westphalia
336,,336,Hesse
337,,337,Hesse
338,,338,Hesse
339,,339,Rhineland-Palatinate
340,,340,Schleswig-Holstein
341,,341,North Rhine-Westphalia
342,,342,Bavaria
343,,343,North Rhine-Westphalia
344,,344,Hamburg
345,,345,Bavaria
346,,346,North Rhine-Westphalia
347,,347,Baden-Württemberg
348,,348,Bavaria
349,,349,Berlin
350,,350,Hesse
351,,351,North Rhine-Westphalia
352,,352,Schleswig-Holstein
353,,353,Baden-Württemberg
354,,354,North Rhine-Westphalia
355,,355,Schleswig-Holstein
356,,356,Baden-Württemberg
357,,357,Saxony
358,,358,North Rhine-Westphalia
359,,359,Rhineland-Palatinate
360,,360,Berlin
361,,361,Saxony-Anhalt
362,,362,Hesse
363,,363,Berlin
364,,364,Rhineland-Palatinate
365,,365,Bavaria
366,,366,Saxony-Anhalt
367,,367,Schleswig-Holstein
368,,368,Baden-Württemberg
369,,369,Hesse
370,,370,North Rhine-Westphalia
371,,371,Hesse
372,,372,North Rhine-Westphalia
373,,373,Baden-Württemberg
374,,374,Berlin
375,,375,Saxony-Anhalt
376,,376,Berlin
377,,377,Schleswig-Holstein
378,,378,North Rhine-Westphalia
379,,379,Bremen
380,,380,North Rhine-Westphalia
381,,381,Saxony-Anhalt
382,,382,Saxony-Anhalt
383,,383,Hesse
384,,384,Thuringia
385,,385,Bavaria
386,,386,North Rhine-Westphalia
387,,387,North Rhine-Westphalia
388,,388,North Rhine-Westphalia
389,,389,Hamburg
390,,390,Berlin
391,,391,North Rhine-Westphalia
392,,392,North Rhine-Westphalia
393,,393,North Rhine-Westphalia
394,,394,Hesse
395,,395,North Rhine-Westphalia
396,,396,Saxony-Anhalt
397,,397,North Rhine-Westphalia
398,,398,Schleswig-Holstein
399,,399,Bavaria
400,,400,Thuringia
401,,401,Saxony
402,,402,Saxony-Anhalt
403,,403,North Rhine-Westphalia
404,,404,Baden-Württemberg
405,,405,North Rhine-Westphalia
406,,406,Rhineland-Palatinate
407,,407,Bavaria
408,,408,Baden-Württemberg
409,,409,Hesse
410,,410,North Rhine-Westphalia
411,,411,Hesse
412,,412,Bavaria
413,,413,Bavaria
414,,414,Hesse
415,,415,Rhineland-Palatinate
416,,416,Hamburg
417,,417,North Rhine-Westphalia
418,,418,North Rhine-Westphalia
419,,419,Berlin
420,,420,Bavaria
421,,421,Schleswig-Holstein
422,,422,Schleswig-Holstein
423,,423,Berlin
424,,424,North Rhine-Westphalia
425,,425,North Rhine-Westphalia
426,,426,North Rhine-Westphalia
427,,427,Bavaria
428,,428,Bavaria
429,,429,Bavaria
430,,430,Bavaria
431,,431,North Rhine-Westphalia
432,,432,Hamburg
433,,433,Schleswig-Holstein
434,,434,Bavaria
435,,435,North Rhine-Westphalia
436,,436,Saxony
437,,437,Saxony
438,,438,Saxony
439,,439,Berlin
440,,440,Baden-Württemberg
441,,441,North Rhine-Westphalia
442,,442,Baden-Württemberg
443,,443,Saxony
444,,444,Saxony
445,,445,North Rhine-Westphalia
446,,446,North Rhine-Westphalia
447,,447,Schleswig-Holstein
448,,448,North Rhine-Westphalia
449,,449,Hesse
450,,450,Baden-Württemberg
451,,451,Hesse
452,,452,Schleswig-Holstein
453,,453,Schleswig-Holstein
454,,454,Saxony-Anhalt
455,,455,Baden-Württemberg
456,,456,North Rhine-Westphalia
457,,457,Bavaria
458,,458,Hesse
459,,459,Schleswig-Holstein
460,,460,Saxony-Anhalt
461,,461,Baden-Württemberg
462,,462,Saxony-Anhalt
463,,463,North Rhine-Westphalia
464,,464,Berlin
465,,465,Hesse
466,,466,North Rhine-Westphalia
467,,467,North Rhine-Westphalia
468,,468,Schleswig-Holstein
469,,469,Berlin
470,,470,North Rhine-Westphalia
471,,471,Bavaria
472,,472,Hamburg
473,,473,North Rhine-Westphalia
474,,474,Thuringia
475,,475,North Rhine-Westphalia
476,,476,Saxony
477,,477,Bavaria
478,,478,Berlin
479,,479,Saxony-Anhalt
480,,480,Berlin
481,,481,Hesse
482,,482,Saxony-Anhalt
483,,483,Saxony-Anhalt
484,,484,Schleswig-Holstein
485,,485,Bavaria
486,,486,North Rhine-Westphalia
487,,487,Schleswig-Holstein
488,,488,Schleswig-Holstein
489,,489,Saxony-Anhalt
490,,490,Bavaria
491,,491,Baden-Württemberg
492,,492,Bavaria
493,,493,North Rhine-Westphalia
494,,494,Berlin
495,,495,Baden-Württemberg
496,,496,Berlin
497,,497,Hesse
498,,498,Bavaria
499,,499,Baden-Württemberg
500,,500,Bavaria
501,,501,Bavaria
502,,502,Hesse
503,,503,Saxony-Anhalt
504,,504,Lower-Saxony
505,,505,Baden-Württemberg
506,,506,North Rhine-Westphalia
507,,507,North Rhine-Westphalia
508,,508,North Rhine-Westphalia
509,,509,Hesse
510,,510,North Rhine-Westphalia
511,,511,Lower-Saxony
512,,512,Bavaria
513,,513,Berlin
514,,514,Bavaria
515,,515,North Rhine-Westphalia
516,,516,North Rhine-Westphalia
517,,517,Hesse
518,,518,Bavaria
519,,519,Schleswig-Holstein
520,,520,Schleswig-Holstein
521,,521,Rhineland-Palatinate
522,,522,Bavaria
523,,523,Berlin
524,,524,Schleswig-Holstein
525,,525,Berlin
526,,526,Thuringia
527,,527,North Rhine-Westphalia
528,,528,North Rhine-Westphalia
529,,529,Schleswig-Holstein
530,,530,Schleswig-Holstein
531,,531,Hamburg
532,,532,North Rhine-Westphalia
533,,533,Baden-Württemberg
534,,534,Bavaria
535,,535,North Rhine-Westphalia
536,,536,North Rhine-Westphalia
537,,537,Baden-Württemberg
538,,538,Schleswig-Holstein
539,,539,Bavaria
540,,540,Bavaria
541,,541,North Rhine-Westphalia
542,,542,Bavaria
543,,543,Hesse
544,,544,Saxony
545,,545,North Rhine-Westphalia
546,,546,Berlin
547,,547,Bavaria
548,,548,Hesse
549,,549,Hamburg
550,,550,Hesse
551,,551,Schleswig-Holstein
552,,552,Hesse
553,,553,Baden-Württemberg
554,,554,Hamburg
555,,555,Bavaria
556,,556,Berlin
557,,557,North Rhine-Westphalia
558,,558,Hamburg
559,,559,Saxony-Anhalt
560,,560,Berlin
561,,561,North Rhine-Westphalia
562,,562,Bremen
563,,563,North Rhine-Westphalia
564,,564,North Rhine-Westphalia
565,,565,North Rhine-Westphalia
566,,566,Hamburg
