,,Store,State
567,,567,North Rhine-Westphalia
568,,568,Hesse
569,,569,Berlin
570,,570,North Rhine-Westphalia
571,,571,Bavaria
572,,572,North Rhine-Westphalia
573,,573,Bavaria
574,,574,Baden-Württemberg
575,,575,Bavaria
576,,576,Berlin
577,,577,Schleswig-Holstein
578,,578,Schleswig-Holstein
579,,579,North Rhine-Westphalia
580,,580,Schleswig-Holstein
581,,581,Rhineland-Palatinate
582,,582,Hesse
583,,583,Saxony-Anhalt
584,,584,Hesse
585,,585,Schleswig-Holstein
586,,586,North Rhine-Westphalia
587,,587,Bavaria
588,,588,Schleswig-Holstein
589,,589,Hesse
590,,590,Baden-Württemberg
591,,591,Baden-Württemberg
592,,592,North Rhine-Westphalia
593,,593,Schleswig-Holstein
594,,594,Berlin
595,,595,Berlin
596,,596,Berlin
597,,597,Rhineland-Palatinate
598,,598,Bavaria
599,,599,Berlin
600,,600,Schleswig-Holstein
601,,601,Hesse
602,,602,Hesse
603,,603,Baden-Württemberg
604,,604,Bavaria
605,,605,Baden-Württemberg
606,,606,Berlin
607,,607,Thuringia
608,,608,Saxony-Anhalt
609,,609,Berlin
610,,610,North Rhine-Westphalia
611,,611,Bavaria
612,,612,Bavaria
613,,613,Thuringia
614,,614,Saxony
615,,615,Hesse
616,,616,North Rhine-Westphalia
617,,617,Saxony
618,,618,Hesse
619,,619,Bavaria
620,,620,Bavaria
621,,621,North Rhine-Westphalia
622,,622,Schleswig-Holstein
623,,623,North Rhine-Westphalia
624,,624,North Rhine-Westphalia
625,,625,North Rhine-Westphalia
626,,626,Saxony
627,,627,Hesse
628,,628,Bremen
629,,629,Bavaria
630,,630,Thuringia
631,,631,Schleswig-Holstein
632,,632,Hamburg
633,,633,Bavaria
634,,634,Saxony
635,,635,Saxony-Anhalt
636,,636,Bavaria
637,,637,Bavaria
638,,638,Bavaria
639,,639,North Rhine-Westphalia
640,,640,North Rhine-Westphalia
641,,641,North Rhine-Westphalia
642,,642,North Rhine-Westphalia
643,,643,Schleswig-Holstein
644,,644,Bavaria
645,,645,Baden-Württemberg
646,,646,Bavaria
647,,647,Schleswig-Holstein
648,,648,Berlin
649,,649,Saxony-Anhalt
650,,650,Bavaria
651,,651,North Rhine-Westphalia
652,,652,Thuringia
653,,653,North Rhine-Westphalia
654,,654,Saxony
655,,655,North Rhine-Westphalia
656,,656,Hesse
657,,657,North Rhine-Westphalia
658,,658,North Rhine-Westphalia
659,,659,Hesse
660,,660,Bavaria
661,,661,Hesse
662,,662,Lower-Saxony
663,,663,Baden-Württemberg
664,,664,Saxony-Anhalt
665,,665,Hesse
666,,666,Baden-Württemberg
667,,667,Schleswig-Holstein
668,,668,Berlin
669,,669,Bavaria
670,,670,Bavaria
671,,671,Bavaria
672,,672,Saxony
673,,673,Baden-Württemberg
674,,674,North Rhine-Westphalia
675,,675,North Rhine-Westphalia
676,,676,Hesse
677,,677,Bavaria
678,,678,North Rhine-Westphalia
679,,679,Berlin
680,,680,Schleswig-Holstein
681,,681,Rhineland-Palatinate
682,,682,Berlin
683,,683,Berlin
684,,684,Bavaria
685,,685,North Rhine-Westphalia
686,,686,Saxony
687,,687,North Rhine-Westphalia
688,,688,Saxony-Anhalt
689,,689,Hesse
690,,690,North Rhine-Westphalia
691,,691,North Rhine-Westphalia
692,,692,North Rhine-Westphalia
693,,693,Hesse
694,,694,Bavaria
695,,695,North Rhine-Westphalia
696,,696,Hamburg
697,,697,North Rhine-Westphalia
698,,698,Berlin
699,,699,Hesse
700,,700,Hesse
701,,701,Bavaria
702,,702,Bavaria
703,,703,North Rhine-Westphalia
704,,704,Berlin
705,,705,North Rhine-Westphalia
706,,706,Bavaria
707,,707,North Rhine-Westphalia
708,,708,Saxony
709,,709,Berlin
710,,710,Bavaria
711,,711,Bavaria
712,,712,Bavaria
713,,713,North Rhine-Westphalia
714,,714,Baden-Württemberg
715,,715,Saxony-Anhalt
716,,716,Bavaria
717,,717,North Rhine-Westphalia
718,,718,Hesse
719,,719,Bavaria
720,,720,Schleswig-Holstein
721,,721,Schleswig-Holstein
722,,722,Bremen
723,,723,Hesse
724,,724,North Rhine-Westphalia
725,,725,Schleswig-Holstein
726,,726,Saxony
727,,727,Hesse
728,,728,Baden-Württemberg
729,,729,North Rhine-Westphalia
730,,730,Berlin
731,,731,North Rhine-Westphalia
732,,732,Schleswig-Holstein
733,,733,North Rhine-Westphalia
734,,734,North Rhine-Westphalia
735,,735,Saxony-Anhalt
736,,736,Bavaria
737,,737,North Rhine-Westphalia
738,,738,North Rhine-Westphalia
739,,739,Bavaria
740,,740,Hesse
741,,741,Lower-Saxony
742,,742,North Rhine-Westphalia
743,,743,Saxony
744,,744,Bavaria
745,,745,Saxony
746,,746,Hesse
747,,747,Saxony-Anhalt
748,,748,North Rhine-Westphalia
749,,749,Rhineland-Palatinate
750,,750,Bavaria
751,,751,North Rhine-Westphalia
752,,752,North Rhine-Westphalia
753,,753,North Rhine-Westphalia
754,,754,Thuringia
755,,755,Thuringia
756,,756,North Rhine-Westphalia
757,,757,Baden-Württemberg
758,,758,Baden-Württemberg
759,,759,North Rhine-Westphalia
760,,760,Berlin
761,,761,Berlin
762,,762,Baden-Württemberg
763,,763,Schleswig-Holstein
764,,764,Rhineland-Palatinate
765,,765,Baden-Württemberg
766,,766,Bavaria
767,,767,Schleswig-Holstein
768,,768,Schleswig-Holstein
769,,769,North Rhine-Westphalia
770,,770,North Rhine-Westphalia
771,,771,Bavaria
772,,772,Hamburg
773,,773,Hesse
774,,774,Schleswig-Holstein
775,,775,Bavaria
776,,776,North Rhine-Westphalia
777,,777,Baden-Württemberg
778,,778,Bavaria
779,,779,Saxony
780,,780,Saxony
781,,781,Saxony-Anhalt
782,,782,Rhineland-Palatinate
783,,783,Thuringia
784,,784,North Rhine-Westphalia
785,,785,North Rhine-Westphalia
786,,786,Saxony-Anhalt
787,,787,Saxony
788,,788,Berlin
789,,789,Baden-Württemberg
790,,790,Hesse
791,,791,North Rhine-Westphalia
792,,792,North Rhine-Westphalia
793,,793,North Rhine-Westphalia
794,,794,Saxony
795,,795,North Rhine-Westphalia
796,,796,North Rhine-Westphalia
797,,797,Bavaria
798,,798,Saxony
799,,799,North Rhine-Westphalia
800,,800,Rhineland-Palatinate
801,,801,Schleswig-Holstein
802,,802,Schleswig-Holstein
803,,803,Hesse
804,,804,Bavaria
805,,805,Bavaria
806,,806,Bavaria
807,,807,Hesse
808,,808,Saxony
809,,809,North Rhine-Westphalia
810,,810,Rhineland-Palatinate
811,,811,Schleswig-Holstein
812,,812,Saxony
813,,813,Baden-Württemberg
814,,814,Thuringia
815,,815,Bavaria
816,,816,North Rhine-Westphalia
817,,817,Berlin
818,,818,Hesse
819,,819,Schleswig-Holstein
820,,820,Bavaria
821,,821,Berlin
822,,822,Schleswig-Holstein
823,,823,Schleswig-Holstein
824,,824,Schleswig-Holstein
825,,825,Bavaria
826,,826,North Rhine-Westphalia
827,,827,Berlin
828,,828,Saxony-Anhalt
829,,829,Hesse
830,,830,Saxony
831,,831,North Rhine-Westphalia
832,,832,Hesse
833,,833,Rhineland-Palatinate
834,,834,Berlin
835,,835,North Rhine-Westphalia
836,,836,Saxony
837,,837,Hesse
838,,838,Thuringia
839,,839,Berlin
840,,840,Bremen
841,,841,Saxony
842,,842,Bavaria
843,,843,Berlin
844,,844,North Rhine-Westphalia
845,,845,North Rhine-Westphalia
846,,846,North Rhine-Westphalia
847,,847,North Rhine-Westphalia
848,,848,Baden-Württemberg
849,,849,Lower-Saxony
850,,850,North Rhine-Westphalia
851,,851,Bavaria
852,,852,Hesse
853,,853,Baden-Württemberg
854,,854,Saxony
855,,855,Baden-Württemberg
856,,856,Hamburg
857,,857,Hesse
858,,858,Bavaria
859,,859,Bavaria
860,,860,Hamburg
861,,861,Rhineland-Palatinate
862,,862,Schleswig-Holstein
863,,863,Schleswig-Holstein
864,,864,Baden-Württemberg
865,,865,North Rhine-Westphalia
866,,866,Hesse
867,,867,Schleswig-Holstein
868,,868,Hesse
869,,869,Saxony
870,,870,Berlin
871,,871,Hesse
872,,872,North Rhine-Westphalia
873,,873,Saxony
874,,874,Bremen
875,,875,Rhineland-Palatinate
876,,876,Saxony-Anhalt
877,,877,Schleswig-Holstein
878,,878,Saxony-Anhalt
879,,879,Bavaria
880,,880,Baden-Württemberg
881,,881,North Rhine-Westphalia
882,,882,North Rhine-Westphalia
883,,883,North Rhine-Westphalia
884,,884,Bavaria
885,,885,North Rhine-Westphalia
886,,886,North Rhine-Westphalia
887,,887,Hesse
888,,888,Schleswig-Holstein
889,,889,Saxony-Anhalt
890,,890,Bavaria
891,,891,North Rhine-Westphalia
892,,892,Saxony
893,,893,Bavaria
894,,894,North Rhine-Westphalia
895,,895,Baden-Württemberg
896,,896,Schleswig-Holstein
897,,897,Rhineland-Palatinate
898,,898,Thuringia
899,,899,Saxony
900,,900,Bavaria
901,,901,Schleswig-Holstein
902,,902,Bavaria
903,,903,Bavaria
904,,904,Bavaria
905,,905,North Rhine-Westphalia
906,,906,Hesse
907,,907,North Rhine-Westphalia
908,,908,Hesse
909,,909,Bavaria
910,,910,Saxony-Anhalt
911,,911,Schleswig-Holstein
912,,912,Schleswig-Holstein
913,,913,Rhineland-Palatinate
914,,914,Schleswig-Holstein
915,,915,Bavaria
916,,916,North Rhine-Westphalia
917,,917,North Rhine-Westphalia
918,,918,Saxony
919,,919,Bavaria
920,,920,Bavaria
921,,921,Saxony
922,,922,North Rhine-Westphalia
923,,923,Berlin
924,,924,North Rhine-Westphalia
925,,925,Baden-Württemberg
926,,926,North Rhine-Westphalia
927,,927,North Rhine-Westphalia
928,,928,North Rhine-Westphalia
929,,929,Schleswig-Holstein
930,,930,North Rhine-Westphalia
931,,931,Schleswig-Holstein
932,,932,Bavaria
933,,933,Saxony
934,,934,North Rhine-Westphalia
935,,935,Schleswig-Holstein
936,,936,North Rhine-Westphalia
937,,937,Hesse
938,,938,Bremen
939,,939,North Rhine-Westphalia
940,,940,Saxony
941,,941,Bavaria
942,,942,Hesse
943,,943,North Rhine-Westphalia
944,,944,Lower-Saxony
945,,945,Schleswig-Holstein
946,,946,Rhineland-Palatinate
947,,947,Baden-Württemberg
948,,948,Baden-Württemberg
949,,949,Berlin
950,,950,Baden-Württemberg
951,,951,North Rhine-Westphalia
952,,952,Bavaria
953,,953,Thuringia
954,,954,North Rhine-Westphalia
955,,955,North Rhine-Westphalia
956,,956,North Rhine-Westphalia
957,,957,Berlin
958,,958,Berlin
959,,959,Berlin
960,,960,Hesse
961,,961,North Rhine-Westphalia
962,,962,North Rhine-Westphalia
963,,963,Saxony
964,,964,Baden-Württemberg
965,,965,Hesse
966,,966,North Rhine-Westphalia
967,,967,North Rhine-Westphalia
968,,968,Saxony
969,,969,Baden-Württemberg
970,,970,Hesse
971,,971,Thuringia
972,,972,Saxony-Anhalt
973,,973,North Rhine-Westphalia
974,,974,Bavaria
975,,975,North Rhine-Westphalia
976,,976,North Rhine-Westphalia
977,,977,Bavaria
978,,978,Saxony
979,,979,Thuringia
980,,980,North Rhine-Westphalia
981,,981,Saxony-Anhalt
982,,982,Saxony
983,,983,North Rhine-Westphalia
984,,984,North Rhine-Westphalia
985,,985,Baden-Württemberg
986,,986,North Rhine-Westphalia
987,,987,Berlin
988,,988,Schleswig-Holstein
989,,989,Bavaria
990,,990,Saxony
991,,991,North Rhine-Westphalia
992,,992,North Rhine-Westphalia
993,,993,Saxony
994,,994,North Rhine-Westphalia
995,,995,Saxony
996,,996,Saxony
997,,997,Hesse
998,,998,Baden-Württemberg
999,,999,Saxony
1000,,1000,Bavaria
1001,,1001,Thuringia
1002,,1002,Berlin
1003,,1003,North Rhine-Westphalia
1004,,1004,Bavaria
1005,,1005,North Rhine-Westphalia
1006,,1006,Saxony-Anhalt
1007,,1007,Schleswig-Holstein
1008,,1008,Hamburg
1009,,1009,Bavaria
1010,,1010,Schleswig-Holstein
1011,,1011,North Rhine-Westphalia
1012,,1012,Bavaria
1013,,1013,North Rhine-Westphalia
1014,,1014,North Rhine-Westphalia
1015,,1015,Rhineland-Palatinate
1016,,1016,North Rhine-Westphalia
1017,,1017,Saxony
1018,,1018,Berlin
1019,,1019,Bavaria
1020,,1020,Hesse
1021,,1021,Berlin
1022,,1022,North Rhine-Westphalia
1023,,1023,Saxony
1024,,1024,Schleswig-Holstein
1025,,1025,Rhineland-Palatinate
1026,,1026,North Rhine-Westphalia
1027,,1027,Bavaria
1028,,1028,North Rhine-Westphalia
1029,,1029,Saxony-Anhalt
1030,,1030,Saxony-Anhalt
1031,,1031,North Rhine-Westphalia
1032,,1032,Saxony-Anhalt
1033,,1033,Berlin
1034,,1034,Saxony
1035,,1035,Saxony
1036,,1036,North Rhine-Westphalia
1037,,1037,North Rhine-Westphalia
1038,,1038,Bavaria
1039,,1039,North Rhine-Westphalia
1040,,1040,North Rhine-Westphalia
1041,,1041,Bavaria
1042,,1042,North Rhine-Westphalia
1043,,1043,Saxony-Anhalt
1044,,1044,Baden-Württemberg
1045,,1045,Schleswig-Holstein
1046,,1046,Saxony-Anhalt
1047,,1047,North Rhine-Westphalia
1048,,1048,Schleswig-Holstein
1049,,1049,Bavaria
1050,,1050,Hesse
1051,,1051,Baden-Württemberg
1052,,1052,North Rhine-Westphalia
1053,,1053,Bremen
1054,,1054,Schleswig-Holstein
1055,,1055,Berlin
1056,,1056,Bavaria
1057,,1057,Schleswig-Holstein
1058,,1058,North Rhine-Westphalia
1059,,1059,Hamburg
1060,,1060,North Rhine-Westphalia
1061,,1061,Baden-Württemberg
1062,,1062,Rhineland-Palatinate
1063,,1063,Hamburg
1064,,1064,North Rhine-Westphalia
1065,,1065,Bavaria
1066,,1066,North Rhine-Westphalia
1067,,1067,Bavaria
1068,,1068,Baden-Württemberg
1069,,1069,Thuringia
1070,,1070,Lower-Saxony
1071,,1071,Schleswig-Holstein
1072,,1072,North Rhine-Westphalia
1073,,1073,North Rhine-Westphalia
1074,,1074,Saxony
1075,,1075,Berlin
1076,,1076,North Rhine-Westphalia
1077,,1077,North Rhine-Westphalia
1078,,1078,Baden-Württemberg
1079,,1079,Hesse
1080,,1080,Bavaria
1081,,1081,Berlin
1082,,1082,Saxony
1083,,1083,Hesse
1084,,1084,Hesse
1085,,1085,Berlin
1086,,1086,Hesse
1087,,1087,Bremen
1088,,1088,North Rhine-Westphalia
1089,,1089,North Rhine-Westphalia
1090,,1090,Saxony
1091,,1091,Schleswig-Holstein
1092,,1092,Bavaria
1093,,1093,Saxony
1094,,1094,Bavaria
1095,,1095,Thuringia
1096,,1096,North Rhine-Westphalia
1097,,1097,Rhineland-Palatinate
1098,,1098,Saxony
1099,,1099,Schleswig-Holstein
1100,,1100,North Rhine-Westphalia
1101,,1101,Schleswig-Holstein
1102,,1102,Bavaria
1103,,1103,Hesse
1104,,1104,Bavaria
1105,,1105,North Rhine-Westphalia
1106,,1106,Schleswig-Holstein
1107,,1107,Bavaria
1108,,1108,Saxony
1109,,1109,Bavaria
1110,,1110,Berlin
1111,,1111,North Rhine-Westphalia
1112,,1112,North Rhine-Westphalia
1113,,1113,Schleswig-Holstein
1114,,1114,Hamburg
1115,,1115,Hesse